"Project Number","File Number","Condo Name","County","Street City State Zip","Units","Recorded Date","Primary Status","Secondary Status","Managing Entity Number","Managing Entity Name","Managing Entity Route","Managing Entity Street","Managing Entity City","Managing Entity State","Managing Entity Zip"
"PR1S015601","60721","HARBOUR HILL","Pinellas","700 BEACH DR NE, SAINT PETERSBURG, FL 33701-2646","57","06/03/1971","Approved","Recorded","MA00008756","HARBOUR HILL CONDO INC.","C/O CONDOMINIUM ASSOCIATES","570 CARILLON PARKWAY","ST. PETERSBURG","FL","33716"
"PR1S015603","60722","MANOR HOUSE SOUTH","Sarasota","510 GRANADA AVENUE, VENICE, FL 34285-2209","20","04/21/1969","Approved","Recorded","MA00002711","MANOR HOUSE SOUTH OWNERS ASSOC INC","","510 GRANADA AVENUE","VENICE","FL","34285"
"PR1S015604","60723","SEABREEZE CONDO WEST","Collier","235 SEAVIEW CT, MARCO ISLAND, FL 33937-3158","70","01/01/1968","Approved","Recorded","MA00002997","SEA BREEZE WEST APTS CONDO INC","","20  MARCO LAKE DRIVE","MARCO ISLAND","FL","34145"
"PR1S015605","60724","JAMAICA ROYALE UNIT 2","Sarasota","5830 MIDNIGHT PASS RD 2, SARASOTA, FL 34242-2195","31","01/20/1970","Approved","Recorded","MA00011486","JAMAICA ROYALE UNIT 2, INC","","5830 MIDNIGHT PASS ROAD","SARASOTA","FL","34242"
"PR1S015608","60727","RUSTLING PALMS CLUB OF NAPLES","Collier","230 3RD AVE S, NAPLES, FL 33940-6378","6","06/08/1982","Approved","Recorded","MA00011081","RUSTLING PALMS OF NAPLES, INC.","","PO Box 2152 THIRD AVENUE SOUTH","NAPLES","FL","34106"
"PR1S016933","61603","CASTAWAYS CONDO ON THE GULF OF MEXICO","Charlotte","2240 N BEACH RD, ENGLEWOOD, FL 34223-5754","41","01/01/1977","Approved","Recorded","MA00009040","CASTAWAYS CONDO. ON THE GULF OF MEXICO","C/O WEST COAST PROPERTY MGMT","1460 S MCCALL RD","ENGLEWOOD","FL","34223"
"PR1S016936","61606","HARBOR LAKES","Collier","1155 SANDPIPER ST, NAPLES, FL 33962-4531","54","05/20/1970","Approved","Recorded","MA00004343","HARBOR LAKES OF NAPLES, INC .","C/O RESORT MANAGEMENT","2685 HORSESHOE DR S","NAPLES","FL","34104"
"PR1S016938","61608","SUNSET SOUTH CONDO","Lee","MIDDLE GULF DR., SANIBEL, FL 33957","56","01/01/1971","Approved","Recorded","MA00013004","SUNSET SOUTH CONDO ASSN","","13831 VECTOR AVE","FORT MYERS","FL","33907"
"PR1S016944","61612","MYERLEE COUNTRY CLUB ESTATES NORTH CONDO","Lee","1288 MYERLEE COUNTRY CLUB BLVD, FORT MYERS, FL 33919-6616","60","01/01/1972","Approved","Recorded","MA00000642","MYERLEE COUNTRY CLUB ESTATES NORTH ASSN","C/O ALLIANT PROPERTY MANAGEMENT, LLC","13831 VECTOR AVENUE","FORT MYERS","FL","33907"
"PR1S016948","61615","FIRST HARBOUR TOWERS","Lee","2350 W FIRST ST, FORT MYERS, FL 33901-3317","40","01/01/1963","Approved","Recorded","MA00003303","FIRST HARBOUR TOWERS CONDO","C/O CONDOMINIUM ASSOCIATES","570 CAROLLIN PKWY","ST. PETERSBURG","FL","33716"
"PR1S016950","61617","SEA ISLAND CONDO II","Pinellas","270 SKIFF PT, CLEARWATER, FL 34630-2160","10","03/18/1969","Approved","Recorded","MA00001403","SEA ISLAND APTS CONDO II ASSN INC","","270 SKIFF POINT APT A-1","CLEARWATER","FL","33767-2160"
